Document,announcement,poet,economy,requirement,recognition,congratulation,philosophy,rumour,recall,knowledge,comedy,libel,lead,music,myth,tendency,deal,win,poetry,council,second,siren,vote,phone,permission,meeting,statement,provision,question,friend,spite,hoarse,lukewarm,loud,silent,shrill,husky,mellow,thudding,crashing,echoing,resounding,muffled,howling,screaming,cooing,crunching,laughing,muttering,squeaking,murmuring,hissing,whining,buzzing,barking,snorting,snarling,growling,audible,warbling,banging,popping,creaking,scratchy,groaning,screeching,meowing,rhythmic,gooey,purring,thumping,beeping,hushed,lilting,moaning,circular,thunderous,gurgling,whimpering,melodious,mumbling,jingling,rustling,tinkling,soundless,giggling,crackling,whispering,noisy,blaring,shrieking,stormy,deafening,clamorous
spite,0.22,0.05,0.13,0.18,0.29,-0.02,0.18,0.18,0.16,0.23,0.13,0.15,0.31,0.07,0.2,0.28,0.33,0.21,0.05,0.14,0.19,0.05,0.13,0.03,0.24,0.26,0.07,0.19,0.18,0.2,1,0.26,0.14,0.2,0.36,0.2,0.17,0.24,0.15,0.23,0.22,0.23,0.24,0.22,0.27,0.15,0.1,0.18,0.28,0.08,0.2,0.22,0.18,0.17,0.18,0.34,0.21,0.24,0.19,0.02,0.13,0.22,0.17,0.09,0.25,0.1,0.07,0.09,0.09,0.02,0.25,0.04,0.21,0.09,0.2,0.08,0.18,0.15,0.15,0.18,0.2,0.1,0.26,0.12,0.2,0.2,0.2,0.23,0.22,0.12,0.15,0.16,0.11,0.09
hoarse,0.17,0.01,-0.02,0.04,0.15,0.08,0.02,0.08,0.04,0.05,0.08,-0.01,0.14,0.08,0.06,0.02,0.03,0.13,0.01,0.03,0.13,0.13,0.09,0.19,0.07,0.16,-0.01,0.03,0.08,0.1,0.26,1,0.06,0.45,0.55,0.56,0.33,0.17,0.45,0.43,0.33,0.2,0.63,0.36,0.49,0.14,0.36,0.35,0.39,0.14,0.44,0.46,0.42,0.33,0.29,0.39,0.29,0.38,0.25,0.23,0.38,0.29,0.39,0.12,0.36,0.39,0.22,0.05,0.02,0.13,0.5,-0.02,0.42,0.07,0.37,0.03,0.36,0.14,0.39,0.21,0.4,0.28,0.38,0.32,0.25,0.31,0.3,0.42,0.24,0.23,0.35,0.16,0.22,0.14
lukewarm,0.06,0.09,0.03,0.07,0.08,0.01,0.02,0,0.14,0.06,-0.04,0.07,0.04,0.02,0.05,0.06,0.1,0.06,0.09,0.03,0.07,0.11,0.03,0.19,0,0,0.01,0.04,0.07,0.12,0.14,0.06,1,0.09,0.15,0.07,0.15,0.03,0.01,0.09,0.05,0.06,0.18,0.06,0.02,-0.05,0.18,0.08,0.04,-0.01,0.15,0.13,0.09,-0.02,-0.04,0.05,0.05,0.01,0.05,0.06,0.05,0.08,0.09,0.22,0.03,0.02,0.08,0.04,0.06,0.05,0.14,-0.07,0.19,0.12,0.02,0.04,0.04,0.04,0.05,0.1,0.06,0.09,0.07,0.14,0.04,0.19,0.07,0.09,0.13,0.01,-0.02,0.04,0.17,-0.04
loud,0.21,0.05,0,0.04,0.12,0.09,0.01,0.06,0.07,0.03,-0.03,0.02,0.17,0.24,0.02,0.06,0.09,0.1,0.06,0.04,0.22,0.36,0.01,0.32,0.07,0.19,0.03,0.03,0.07,0.23,0.2,0.45,0.09,1,0.49,0.65,0.37,0.15,0.47,0.38,0.38,0.23,0.57,0.36,0.51,0.32,0.45,0.55,0.4,0.4,0.33,0.41,0.37,0.44,0.35,0.28,0.28,0.45,0.41,0.27,0.48,0.34,0.4,0.12,0.3,0.49,0.1,0.16,0.06,0.26,0.51,-0.01,0.45,0.07,0.38,0.03,0.34,0.26,0.26,0.34,0.3,0.32,0.47,0.39,0.16,0.39,0.32,0.52,0.64,0.38,0.41,0.14,0.26,0.13
silent,0.31,0.09,0.01,0.06,0.22,-0.03,0.05,0.2,0.17,0.11,0.12,0.07,0.2,0.21,0.11,0.07,0.16,0.14,0.07,0.13,0.15,0.23,0.1,0.18,0.16,0.28,0.06,0.08,0.17,0.25,0.36,0.55,0.15,0.49,1,0.56,0.39,0.39,0.4,0.43,0.49,0.31,0.6,0.43,0.44,0.21,0.4,0.48,0.43,0.19,0.51,0.36,0.42,0.34,0.32,0.23,0.27,0.37,0.42,0.1,0.38,0.32,0.5,0.12,0.39,0.31,0.17,0.18,0.05,0.19,0.53,0.01,0.57,0.19,0.44,0.09,0.41,0.18,0.24,0.27,0.4,0.23,0.5,0.45,0.38,0.33,0.35,0.6,0.42,0.3,0.48,0.23,0.3,0.14
shrill,0.21,0.02,0,-0.04,0.12,0.03,0,0.14,0.09,0.02,-0.01,0.06,0.11,0.17,0.01,0.03,0.02,0.08,0.02,0.03,0.13,0.24,0.01,0.24,0.05,0.11,0,0.03,0.06,0.19,0.2,0.56,0.07,0.65,0.56,1,0.33,0.22,0.6,0.42,0.49,0.24,0.63,0.44,0.58,0.32,0.46,0.5,0.41,0.28,0.42,0.44,0.49,0.42,0.37,0.23,0.35,0.39,0.33,0.17,0.45,0.32,0.43,0.08,0.36,0.57,0.16,0.12,0.03,0.08,0.55,0,0.49,0,0.46,0.03,0.4,0.17,0.33,0.3,0.36,0.29,0.48,0.4,0.27,0.3,0.36,0.5,0.47,0.37,0.49,0.1,0.27,0.15
husky,0.07,0.04,0.01,0.01,0.07,0.07,0.02,-0.01,0.05,0.02,0.09,-0.01,0.17,0.13,0.08,0.04,0.03,0.15,0.03,0.02,0.13,0.13,0.04,0.15,0.02,0.12,0.07,0.05,0.07,0.12,0.17,0.33,0.15,0.37,0.39,0.33,1,0.19,0.27,0.17,0.34,0.13,0.45,0.34,0.22,0.17,0.28,0.34,0.21,0.17,0.26,0.2,0.34,0.16,0.44,0.12,0.42,0.39,0.18,0.01,0.23,0.24,0.17,0.14,0.12,0.26,0.18,0.09,-0.02,0.04,0.4,-0.04,0.3,0.15,0.12,0.02,0.16,0.05,0.24,0.11,0.24,0.29,0.11,0.27,0.18,0.23,0.12,0.26,0.3,0.19,0.13,0.16,0.12,0
mellow,0.08,0.09,-0.02,0.05,0.18,-0.03,0.14,0.12,0.06,0.05,0.24,0.01,0.04,0.21,0.09,0.1,0.08,-0.06,0.07,0.06,0.07,-0.07,0.01,0.03,0.1,0.08,0,0.06,0.02,0.11,0.24,0.17,0.03,0.15,0.39,0.22,0.19,1,0.16,0.14,0.28,0.16,0.27,0.09,0,0.15,0.15,0.13,0.2,0.06,0.23,0.12,0.09,0.23,-0.02,0.04,-0.04,0.09,0.27,0,0.04,0.15,0.24,0.16,0.16,0.12,-0.06,0.22,0.05,-0.1,0.16,0,0.23,0.13,0.15,0.04,0.12,0.08,0.03,0.21,0.12,0.12,0.36,0.27,0.08,0.16,0.18,0.33,0.2,0.15,0.23,0.11,0.06,0.18
thudding,0.04,0.05,0.01,0,0.04,0.03,-0.04,0.01,0.06,0.04,-0.02,0,0.11,0.05,-0.01,-0.03,0,0.05,0.06,-0.01,0.13,0.12,-0.04,0.15,0,-0.01,0.03,0.05,0.04,0.05,0.15,0.45,0.01,0.47,0.4,0.6,0.27,0.16,1,0.46,0.4,0.17,0.57,0.36,0.46,0.12,0.25,0.33,0.39,0.3,0.25,0.38,0.34,0.3,0.26,0.24,0.23,0.32,0.17,0.13,0.42,0.3,0.35,0.07,0.25,0.48,0.11,0.06,0.02,-0.02,0.49,-0.02,0.41,0.01,0.38,0.04,0.4,0.04,0.19,0.18,0.28,0.29,0.3,0.26,0.23,0.22,0.26,0.35,0.22,0.23,0.38,0.09,0.27,0.05
crashing,0.1,0.01,0,0.08,0.11,-0.01,-0.01,0.06,0.03,0.02,0,-0.01,0.07,-0.03,0.08,0.03,0.04,0.11,-0.01,0.05,0.13,0.2,0,0.1,0.04,0.05,-0.01,0.04,0.05,0.05,0.23,0.43,0.09,0.38,0.43,0.42,0.17,0.14,0.46,1,0.33,0.22,0.45,0.45,0.48,0.1,0.19,0.26,0.35,0.21,0.22,0.48,0.39,0.32,0.17,0.3,0.25,0.37,0.2,0.03,0.37,0.34,0.3,-0.01,0.32,0.37,0.09,0.07,0.03,-0.02,0.38,0.08,0.32,-0.01,0.39,0.08,0.5,0.15,0.29,0.1,0.32,0.22,0.3,0.3,0.25,0.13,0.28,0.39,0.26,0.19,0.45,0.34,0.24,0.14
echoing,0.06,0,0.02,0.04,0.12,0,0.01,0.14,0.07,-0.02,0.08,0,0.16,0.14,0.02,0.04,0.02,0.05,0.01,0.07,0.12,0.1,0.06,0.08,0.07,0.09,0.03,0.04,0.04,0.15,0.22,0.33,0.05,0.38,0.49,0.49,0.34,0.28,0.4,0.33,1,0.24,0.42,0.27,0.37,0.15,0.25,0.33,0.32,0.2,0.26,0.33,0.33,0.3,0.26,0.22,0.14,0.23,0.28,-0.02,0.25,0.26,0.27,0.05,0.3,0.35,0.05,0.19,0.04,0.06,0.36,-0.05,0.35,0.11,0.37,0.08,0.34,0.12,0.15,0.12,0.35,0.22,0.36,0.37,0.23,0.23,0.18,0.42,0.32,0.23,0.27,-0.03,0.16,0.1
resounding,0.21,0.04,0.04,0.03,0.15,-0.01,0.04,0.15,-0.01,0.08,0.12,0.02,0.07,0.12,0.05,0.13,0.1,0.12,0.02,0.09,0.11,0.15,0.02,0.07,0.11,0.18,0.07,0.02,0.09,0.13,0.23,0.2,0.06,0.23,0.31,0.24,0.13,0.16,0.17,0.22,0.24,1,0.2,0.1,0.25,0.09,0.11,0.21,0.24,0.18,0.13,0.13,0.08,0.14,0.06,0.1,0.08,0.13,0.18,0.11,0.07,0.11,0.16,0.01,0.12,0.12,0.07,0.12,0,0.05,0.15,0.03,0.27,0.03,0.15,0.08,0.28,0.14,0.08,0.08,0.17,0.1,0.19,0.2,0.15,0.21,0.16,0.31,0.2,0.18,0.21,0.1,0.15,0.06
muffled,0.15,0.03,0,0.01,0.13,0.05,0.02,0.03,0.07,0.06,-0.02,-0.01,0.08,0.08,0.01,0.03,0.08,0.01,0.03,0.02,0.13,0.22,0.01,0.32,0.06,0.14,0,0.03,0.09,0.07,0.24,0.63,0.18,0.57,0.6,0.63,0.45,0.27,0.57,0.45,0.42,0.2,1,0.44,0.45,0.17,0.43,0.39,0.54,0.22,0.4,0.36,0.45,0.39,0.33,0.25,0.32,0.42,0.29,0.17,0.44,0.33,0.43,0.19,0.45,0.34,0.15,0.06,0.09,0.09,0.62,-0.03,0.48,0.05,0.42,0.03,0.34,0.19,0.37,0.22,0.4,0.4,0.42,0.43,0.24,0.33,0.39,0.5,0.31,0.25,0.37,0.21,0.33,0.09
howling,-0.01,0.03,-0.01,-0.04,0.06,0.05,0.02,0.05,0,0.02,0.02,0.01,0.09,0.04,0.05,0.02,0.03,0.09,0.02,0.02,0.09,0.13,0.01,0.09,0.09,0.01,0.01,0.03,0.03,0.14,0.22,0.36,0.06,0.36,0.43,0.44,0.34,0.09,0.36,0.45,0.27,0.1,0.44,1,0.45,0.17,0.3,0.29,0.31,0.06,0.25,0.38,0.57,0.28,0.47,0.28,0.59,0.61,0.18,0,0.43,0.34,0.4,0.01,0.27,0.33,0.14,0.11,0.01,0.01,0.38,0.16,0.27,0,0.4,0,0.29,0.1,0.49,0.12,0.25,0.22,0.33,0.3,0.21,0.23,0.4,0.31,0.24,0.14,0.37,0.37,0.25,0.03
screaming,0.17,0.02,0,0.02,0.11,0.16,-0.01,0.04,0.08,0.01,0.05,0.05,0.14,0.07,0.03,0.06,0.03,0.17,0,0.07,0.16,0.31,0.01,0.22,0.13,0.16,-0.02,0.04,0.05,0.18,0.27,0.49,0.02,0.51,0.44,0.58,0.22,0,0.46,0.48,0.37,0.25,0.45,0.45,1,0.22,0.22,0.52,0.41,0.28,0.36,0.39,0.49,0.34,0.33,0.31,0.32,0.42,0.11,0.1,0.47,0.4,0.33,0.12,0.35,0.52,0.19,0.04,0.05,0.06,0.42,0.05,0.37,0.07,0.59,0.01,0.37,0.2,0.42,0.09,0.44,0.26,0.28,0.22,0.23,0.26,0.24,0.36,0.36,0.33,0.57,0.1,0.3,0.06
cooing,0.08,0.05,-0.02,0.03,0.05,-0.01,-0.01,0.07,0,0.05,0.01,-0.02,-0.01,0.06,0.02,0.13,0.04,-0.05,0.06,0.01,0.07,0.15,0.01,-0.03,0,0.03,0.02,0.04,0.04,0.05,0.15,0.14,-0.05,0.32,0.21,0.32,0.17,0.15,0.12,0.1,0.15,0.09,0.17,0.17,0.22,1,0.2,0.14,0.11,0.2,0.29,0.17,0.15,0.23,0.1,0.1,0.13,0.22,0.21,0.09,0.17,0.18,0.12,0.13,-0.01,0.17,0.03,0.12,-0.02,0.09,0.23,0.14,0.12,0.04,0.08,0,0.11,0.32,0.18,0.19,0.11,0.08,0.25,0.16,0.12,0.06,0.12,0.25,0.23,0.13,0.12,0.01,0,0.04
crunching,0.11,0.25,0,0.01,0.05,0.01,0.05,0,0.06,0.04,0.02,0,0.03,0.18,0.04,0,0.05,0.02,0.25,0,0.04,0.29,0,0.03,-0.04,0.06,0.03,0.02,0.01,0.05,0.1,0.36,0.18,0.45,0.4,0.46,0.28,0.15,0.25,0.19,0.25,0.11,0.43,0.3,0.22,0.2,1,0.15,0.17,0.12,0.33,0.29,0.26,0.32,0.26,0.18,0.28,0.41,0.25,0.29,0.23,0.24,0.37,0.15,0.19,0.29,0.26,0.16,0.02,0.19,0.35,-0.01,0.32,0.21,0.12,0.01,0.24,0.22,0.16,0.33,0.15,0.21,0.44,0.35,0.25,0.23,0.33,0.33,0.38,0.31,0.24,0.12,0.21,-0.05
laughing,0.25,0.04,0.01,0.01,0.1,0.11,0,0.08,0.08,0.04,0.09,0.02,0.05,0.14,0.03,0,0.13,0.21,0.03,0.02,0.12,0.19,0.01,0.24,0.12,0.2,0.02,0.06,0.11,0.39,0.18,0.35,0.08,0.55,0.48,0.5,0.34,0.13,0.33,0.26,0.33,0.21,0.39,0.29,0.52,0.14,0.15,1,0.4,0.29,0.33,0.3,0.37,0.27,0.24,0.2,0.16,0.28,0.24,0.05,0.29,0.37,0.29,0.18,0.3,0.4,0.1,0.08,0.11,0.21,0.4,-0.03,0.41,0.14,0.41,0.03,0.26,0.14,0.2,0.15,0.35,0.33,0.27,0.27,0.09,0.5,0.19,0.54,0.42,0.27,0.35,0.08,0.2,0.14
muttering,0.2,-0.02,0,0.05,0.11,0.03,-0.04,0.16,0.01,0.06,0.01,0.07,0.1,0.09,-0.02,0.05,0.09,0.08,-0.02,0.04,0.15,0.12,0.01,0.19,0.14,0.17,-0.04,0.02,0.05,0.19,0.28,0.39,0.04,0.4,0.43,0.41,0.21,0.2,0.39,0.35,0.32,0.24,0.54,0.31,0.41,0.11,0.17,0.4,1,0.16,0.25,0.24,0.26,0.32,0.28,0.19,0.2,0.38,0.2,0.15,0.36,0.27,0.29,0.1,0.34,0.27,0.13,0.03,0.08,0.16,0.43,-0.02,0.35,0.02,0.37,0.04,0.25,0.2,0.21,0.06,0.53,0.18,0.39,0.36,0.14,0.27,0.25,0.36,0.23,0.21,0.32,0.11,0.23,0.12
squeaking,0.04,0.03,-0.01,-0.02,-0.01,0.03,-0.01,-0.12,0.01,-0.02,-0.03,-0.04,0.04,0.1,0.06,0.07,-0.01,-0.04,0.02,0.01,0.11,0.18,-0.01,0.06,0,0.09,0.03,0.04,0.06,0.05,0.08,0.14,-0.01,0.4,0.19,0.28,0.17,0.06,0.3,0.21,0.2,0.18,0.22,0.06,0.28,0.2,0.12,0.29,0.16,1,0.05,0.26,0.22,0.27,0.21,0.1,0.08,0.16,0.07,0.1,0.27,0.25,0.14,0.19,0.11,0.2,0.2,0.03,0.05,0.11,0.34,-0.01,0.33,0.1,0.24,0.04,0.04,0.15,0.04,0.18,0.14,0.22,0.24,0.17,0.13,0.12,0.13,0.31,0.32,0.22,0.24,0.05,0.11,0.04
murmuring,0.08,0.2,-0.01,-0.02,0.12,-0.02,0.04,0.12,0.11,0.07,0.02,0.05,0.04,0.27,0,0.02,0.03,0.06,0.21,0.07,0.11,0.19,0.01,0.12,0.13,0.14,-0.01,0,0.04,0.16,0.2,0.44,0.15,0.33,0.51,0.42,0.26,0.23,0.25,0.22,0.26,0.13,0.4,0.25,0.36,0.29,0.33,0.33,0.25,0.05,1,0.18,0.31,0.16,0.14,0.16,0.18,0.2,0.28,0,0.31,0.17,0.27,0.16,0.3,0.24,0.14,0.3,0.03,0.04,0.36,-0.02,0.42,0.21,0.29,0.09,0.16,0.16,0.25,0.21,0.3,0.22,0.36,0.3,0.2,0.26,0.21,0.36,0.22,0.27,0.34,0.16,0.17,0.01
hissing,0.14,0,-0.02,-0.01,0.07,0.13,-0.01,-0.06,0.07,0.01,-0.07,0.04,0.09,0.05,0.08,0.03,0.02,0.04,0,0.04,0.11,0.17,-0.01,0.12,0.02,0.06,0.03,0.02,0.07,0.08,0.22,0.46,0.13,0.41,0.36,0.44,0.2,0.12,0.38,0.48,0.33,0.13,0.36,0.38,0.39,0.17,0.29,0.3,0.24,0.26,0.18,1,0.36,0.29,0.31,0.33,0.24,0.39,0.16,0.22,0.41,0.38,0.36,0.09,0.19,0.31,0.14,0.05,0.09,0.18,0.42,-0.04,0.28,0.02,0.3,0.06,0.33,0.19,0.33,0.11,0.25,0.14,0.43,0.27,0.21,0.24,0.37,0.42,0.3,0.22,0.36,0.29,0.14,0.12
whining,0.09,0.04,0,-0.02,0.06,0.06,0.01,0.03,0.02,0,0.07,0,0.14,0.12,0.07,0.07,0.05,0.1,0.03,0.04,0.05,0.1,0.03,0.05,0.11,0.03,0.06,0.04,0.05,0.1,0.18,0.42,0.09,0.37,0.42,0.49,0.34,0.09,0.34,0.39,0.33,0.08,0.45,0.57,0.49,0.15,0.26,0.37,0.26,0.22,0.31,0.36,1,0.25,0.45,0.24,0.47,0.45,0.22,-0.04,0.41,0.32,0.33,0.12,0.29,0.33,0.24,0.09,0.04,0.12,0.48,0.07,0.31,0.05,0.48,0.06,0.27,0.17,0.51,0.14,0.29,0.26,0.35,0.29,0.14,0.18,0.24,0.29,0.28,0.18,0.43,0.1,0.28,0.05
buzzing,0.15,0,0,0.06,0.09,-0.01,-0.04,0.07,0.06,-0.01,-0.07,0,0.07,0.07,0.04,0,0.09,0.06,0.02,0.08,0.05,0.29,0.03,0.09,0.1,0.12,-0.04,0.02,0.04,0.15,0.17,0.33,-0.02,0.44,0.34,0.42,0.16,0.23,0.3,0.32,0.3,0.14,0.39,0.28,0.34,0.23,0.32,0.27,0.32,0.27,0.16,0.29,0.25,1,0.24,0.23,0.19,0.29,0.24,0.07,0.3,0.26,0.25,0.15,0.2,0.31,0.06,0.01,-0.03,0.12,0.35,0.07,0.26,0.01,0.28,0.03,0.24,0.27,0.21,0.16,0.22,0.18,0.43,0.31,0.08,0.2,0.28,0.42,0.36,0.29,0.31,0.08,0.23,0.05
barking,0.1,-0.01,0,-0.01,0.08,0.04,0.02,0.03,0.04,0.02,-0.01,0.02,0.12,0.1,0,0.02,0.01,0.03,-0.01,0.04,0.06,0.24,0,0.16,0.06,0.08,0.02,0.01,0.03,0.21,0.18,0.29,-0.04,0.35,0.32,0.37,0.44,-0.02,0.26,0.17,0.26,0.06,0.33,0.47,0.33,0.1,0.26,0.24,0.28,0.21,0.14,0.31,0.45,0.24,1,0.22,0.7,0.65,0.13,0.16,0.4,0.24,0.29,-0.01,0.15,0.2,0.3,0.04,0,0.15,0.43,-0.02,0.26,-0.04,0.25,0.01,0.11,0.03,0.41,0.04,0.18,0.16,0.3,0.15,0.07,0.15,0.22,0.24,0.31,0.15,0.23,0.18,0.21,0.08
snorting,0.03,-0.02,0.03,0.03,0.09,0.06,-0.02,0.11,-0.01,0.04,0.01,0.04,0.1,0.12,0.05,0.03,0.07,0.08,-0.01,0.02,0.06,0.09,-0.01,0.02,0.01,0,0.01,0,0.05,0.08,0.34,0.39,0.05,0.28,0.23,0.23,0.12,0.04,0.24,0.3,0.22,0.1,0.25,0.28,0.31,0.1,0.18,0.2,0.19,0.1,0.16,0.33,0.24,0.23,0.22,1,0.23,0.31,0.1,0.05,0.14,0.18,0.24,0.01,0.13,0.27,0.07,0.06,0.04,0.05,0.22,0.05,0.13,-0.01,0.18,0.09,0.24,0.16,0.2,0.06,0.17,0.21,0.22,0.12,0.18,0.14,0.11,0.2,0.23,0.15,0.2,0.08,0.09,0
snarling,0.09,0.01,0.01,-0.02,0.11,0.09,0.04,0.07,0.03,0.03,0.05,0.04,0.13,0.02,0.04,0.02,0.02,0.09,0.01,0.05,0.1,0.21,0.01,0.08,0.05,0.04,0.03,0.05,0.04,0.16,0.21,0.29,0.05,0.28,0.27,0.35,0.42,-0.04,0.23,0.25,0.14,0.08,0.32,0.59,0.32,0.13,0.28,0.16,0.2,0.08,0.18,0.24,0.47,0.19,0.7,0.23,1,0.59,0.1,0.06,0.28,0.2,0.16,0.02,0.12,0.21,0.28,0.06,-0.01,0.04,0.4,0.16,0.25,-0.05,0.22,0.01,0.16,0.03,0.44,0.11,0.15,0.17,0.17,0.07,0.14,0.12,0.26,0.11,0.22,0.07,0.23,0.14,0.19,-0.01
growling,0.07,-0.02,0.01,0.05,0.1,0.05,0.06,0,0.01,0.09,0.04,-0.04,0.07,0.05,0.01,0.04,0.04,0,-0.01,-0.01,0.03,0.18,-0.02,0.07,0.05,0.06,-0.02,0.04,0.01,0.17,0.24,0.38,0.01,0.45,0.37,0.39,0.39,0.09,0.32,0.37,0.23,0.13,0.42,0.61,0.42,0.22,0.41,0.28,0.38,0.16,0.2,0.39,0.45,0.29,0.65,0.31,0.59,1,0.15,0.21,0.43,0.28,0.36,0.07,0.2,0.26,0.24,0.08,0.02,0.2,0.44,0.16,0.25,-0.05,0.3,0.05,0.26,0.08,0.4,0.11,0.26,0.2,0.38,0.24,0.18,0.26,0.31,0.29,0.34,0.19,0.26,0.28,0.24,0.07
audible,0.19,0.07,-0.01,0.1,0.18,-0.12,0.13,0.14,0.09,0.12,0.05,0.07,0.1,0.33,0.02,0.16,0.1,-0.02,0.08,-0.03,0.19,0.11,-0.01,0.08,0.04,0.18,0.07,0.02,0.16,0.1,0.19,0.25,0.05,0.41,0.42,0.33,0.18,0.27,0.17,0.2,0.28,0.18,0.29,0.18,0.11,0.21,0.25,0.24,0.2,0.07,0.28,0.16,0.22,0.24,0.13,0.1,0.1,0.15,1,-0.05,0.09,0.11,0.22,0.1,0.13,0.22,0,0.3,0.02,0.09,0.25,-0.03,0.32,0.1,0.19,0.12,0.28,0.13,0.16,0.23,0.13,0.1,0.41,0.3,0.12,0.18,0.19,0.42,0.24,0.27,0.24,0.09,0.19,0.18
warbling,0.19,-0.02,-0.02,0.06,0,0.07,-0.03,-0.02,-0.02,-0.01,0.04,0.04,-0.06,0.05,-0.01,-0.02,-0.01,0.01,-0.02,0.04,0.11,0.17,0.02,0.15,0.02,0.08,-0.01,-0.01,0.03,0.11,0.02,0.23,0.06,0.27,0.1,0.17,0.01,0,0.13,0.03,-0.02,0.11,0.17,0,0.1,0.09,0.29,0.05,0.15,0.1,0,0.22,-0.04,0.07,0.16,0.05,0.06,0.21,-0.05,1,0.24,0.12,0.23,0.12,0.02,0.01,0.28,-0.02,0,0.31,0.15,-0.06,0.09,0.11,0.06,-0.02,0.04,0.08,0.01,0.06,0.12,-0.02,0.19,0.09,0.04,0.08,0.12,0.13,0.27,0.16,0,0.06,0.09,0
banging,0.1,0.02,-0.01,0,0.09,0.22,0.02,-0.04,0.05,-0.01,0.03,0.01,0.08,0.22,0.07,0.03,0.01,0.13,0.03,0.02,0.17,0.21,0.02,0.23,0.1,0.05,0.06,0.05,0.07,0.19,0.13,0.38,0.05,0.48,0.38,0.45,0.23,0.04,0.42,0.37,0.25,0.07,0.44,0.43,0.47,0.17,0.23,0.29,0.36,0.27,0.31,0.41,0.41,0.3,0.4,0.14,0.28,0.43,0.09,0.24,1,0.41,0.48,0.02,0.34,0.38,0.28,0.19,0.05,0.21,0.49,0.01,0.28,0.09,0.35,0.07,0.17,0.07,0.24,0.06,0.35,0.18,0.34,0.27,0.17,0.17,0.27,0.28,0.28,0.24,0.34,0.2,0.17,0.04
popping,0.08,-0.01,0.01,-0.03,0.07,0.13,0.02,-0.04,0.07,0.01,0.1,0.03,0.12,0.07,0.15,0.06,0.01,0.07,0,0,0.13,0.16,0,0.18,0.03,0.07,0.02,0.06,0.12,0.09,0.22,0.29,0.08,0.34,0.32,0.32,0.24,0.15,0.3,0.34,0.26,0.11,0.33,0.34,0.4,0.18,0.24,0.37,0.27,0.25,0.17,0.38,0.32,0.26,0.24,0.18,0.2,0.28,0.11,0.12,0.41,1,0.35,0.04,0.3,0.29,0.24,0.06,0.13,0.12,0.4,-0.1,0.24,0.03,0.3,0.04,0.25,0.18,0.24,0.14,0.27,0.27,0.26,0.24,0.27,0.24,0.33,0.33,0.25,0.16,0.38,0.14,0.25,0.03
