Document,announcement,poet,economy,requirement,recognition,congratulation,philosophy,rumour,recall,knowledge,comedy,libel,lead,music,myth,tendency,deal,win,poetry,council,second,siren,vote,phone,permission,meeting,statement,provision,question,friend,spite,hoarse,lukewarm,loud,silent,shrill,husky,mellow,thudding,crashing,echoing,resounding,muffled,howling,screaming,cooing,crunching,laughing,muttering,squeaking,murmuring,hissing,whining,buzzing,barking,snorting,snarling,growling,audible,warbling,banging,popping,creaking,scratchy,groaning,screeching,meowing,rhythmic,gooey,purring,thumping,beeping,hushed,lilting,moaning,circular,thunderous,gurgling,whimpering,melodious,mumbling,jingling,rustling,tinkling,soundless,giggling,crackling,whispering,noisy,blaring,shrieking,stormy,deafening,clamorous
creaking,0.15,0.01,0,0.04,0.11,0.04,-0.01,0.17,0.11,0.01,-0.03,0.06,0.12,0.09,-0.01,-0.03,0.01,0.09,0,0.03,0.15,0.12,0.01,0.1,0.1,0.14,-0.03,0.04,0.09,0.12,0.17,0.39,0.09,0.4,0.5,0.43,0.17,0.24,0.35,0.3,0.27,0.16,0.43,0.4,0.33,0.12,0.37,0.29,0.29,0.14,0.27,0.36,0.33,0.25,0.29,0.24,0.16,0.36,0.22,0.23,0.48,0.35,1,0.04,0.28,0.32,0.21,0.09,0,0.2,0.39,-0.07,0.35,0.08,0.3,0,0.26,0.15,0.26,0.1,0.15,0.25,0.47,0.29,0.24,0.22,0.29,0.41,0.36,0.21,0.37,0.32,0.21,0.15
scratchy,0.07,0,-0.03,0.02,0.08,-0.02,0.01,-0.12,0.12,0.04,-0.01,0.01,0.09,-0.01,0.1,0.11,0.12,0.06,0.01,0.04,0.01,0.03,0,-0.02,0.1,0.01,0.09,0.02,-0.01,0.03,0.09,0.12,0.22,0.12,0.12,0.08,0.14,0.16,0.07,-0.01,0.05,0.01,0.19,0.01,0.12,0.13,0.15,0.18,0.1,0.19,0.16,0.09,0.12,0.15,-0.01,0.01,0.02,0.07,0.1,0.12,0.02,0.04,0.04,1,0.09,0.02,0.09,-0.01,0.03,0.07,0.19,-0.09,0.16,0.07,0.14,0,0.02,0.13,0.08,0.03,0.1,0.04,0.17,0.07,-0.05,0.09,0.13,0.19,0.15,0.07,0.03,0,0.03,0.01
groaning,0.09,0.04,0.01,0,0.1,0.13,0.05,0.07,0.05,-0.01,0.12,0.06,0.02,0,0.05,0.01,0.06,0.04,0.02,0.05,0.07,0.12,0.02,0.2,0.07,0.08,0.04,0.06,0.08,0.16,0.25,0.36,0.03,0.3,0.39,0.36,0.12,0.16,0.25,0.32,0.3,0.12,0.45,0.27,0.35,-0.01,0.19,0.3,0.34,0.11,0.3,0.19,0.29,0.2,0.15,0.13,0.12,0.2,0.13,0.02,0.34,0.3,0.28,0.09,1,0.28,0.23,0.02,0.03,0.21,0.33,-0.07,0.29,0.09,0.42,0,0.18,0.16,0.19,0.17,0.31,0.14,0.29,0.28,0.2,0.15,0.26,0.32,0.17,0.1,0.27,0.1,0.12,0.25
screeching,0.15,0.07,0.05,0.05,0.1,0.18,0,0.07,0.09,0,0.09,0.09,0.11,0.19,0.02,0.01,0.03,0.11,0.06,0,0.16,0.27,-0.03,0.09,0.01,0.04,0.02,0.11,0.01,0.15,0.1,0.39,0.02,0.49,0.31,0.57,0.26,0.12,0.48,0.37,0.35,0.12,0.34,0.33,0.52,0.17,0.29,0.4,0.27,0.2,0.24,0.31,0.33,0.31,0.2,0.27,0.21,0.26,0.22,0.01,0.38,0.29,0.32,0.02,0.28,1,0.08,0.15,-0.01,0.03,0.32,0.07,0.27,0.07,0.34,0.01,0.34,0.1,0.15,0.29,0.22,0.23,0.23,0.26,0.21,0.2,0.2,0.34,0.42,0.27,0.42,0.05,0.21,0.09
meowing,0.1,0,0,-0.02,0.01,0.13,0,-0.03,-0.01,-0.04,0.06,0.06,0,0,0.01,0,-0.02,0.01,-0.01,0.06,0.08,0.14,-0.03,0.11,0.04,0.06,0.01,0.08,0.08,0.26,0.07,0.22,0.08,0.1,0.17,0.16,0.18,-0.06,0.11,0.09,0.05,0.07,0.15,0.14,0.19,0.03,0.26,0.1,0.13,0.2,0.14,0.14,0.24,0.06,0.3,0.07,0.28,0.24,0,0.28,0.28,0.24,0.21,0.09,0.23,0.08,1,-0.03,-0.02,0.27,0.18,-0.08,0.12,0.09,0.24,0.03,0.02,0.11,0.05,0.05,0.2,0.1,0.09,0.07,0.18,0.12,0.12,0.07,0.23,0.15,0.12,0.04,0.13,0.01
rhythmic,0.05,0.34,0.02,0.06,0.12,-0.03,0.06,0.01,0.15,0.05,0.15,-0.02,0.05,0.72,0.07,0.1,0.06,0.04,0.37,0.01,0.09,0,0.03,-0.03,0.01,0.02,0.05,0.02,0.03,0.03,0.09,0.05,0.04,0.16,0.18,0.12,0.09,0.22,0.06,0.07,0.19,0.12,0.06,0.11,0.04,0.12,0.16,0.08,0.03,0.03,0.3,0.05,0.09,0.01,0.04,0.06,0.06,0.08,0.3,-0.02,0.19,0.06,0.09,-0.01,0.02,0.15,-0.03,1,0.1,0.01,0.12,-0.02,0.15,0.26,0.06,0.17,0.01,0.04,0.03,0.2,0.02,0.1,0.17,0.22,0,0.07,0.12,0.15,0.09,0.26,0.19,0.11,0.04,0.01
gooey,0.04,0.02,0.03,0.01,0.03,0.01,0.02,-0.09,0.08,-0.03,0.03,-0.06,0.11,0.03,-0.01,0.07,0.05,0.04,0.02,-0.02,0.09,-0.08,-0.03,0.02,0.05,0.04,0,-0.01,0.04,0.02,0.09,0.02,0.06,0.06,0.05,0.03,-0.02,0.05,0.02,0.03,0.04,0,0.09,0.01,0.05,-0.02,0.02,0.11,0.08,0.05,0.03,0.09,0.04,-0.03,0,0.04,-0.01,0.02,0.02,0,0.05,0.13,0,0.03,0.03,-0.01,-0.02,0.1,1,0.07,0.11,-0.02,0.02,0.04,0.03,0.09,0.08,0.12,-0.04,0.01,-0.02,0.02,0.01,-0.03,0,0.1,0.02,0.07,0.02,0.03,0,0.01,0.08,0.15
purring,0.18,0.04,0,0.01,0.05,0,-0.04,0.04,0.02,0.03,0.07,0.12,0.06,0.07,0.01,0,0.05,0.02,0.05,0.04,0.07,0.18,0,0.03,0.05,0.11,0.02,-0.03,0.03,0.18,0.02,0.13,0.05,0.26,0.19,0.08,0.04,-0.1,-0.02,-0.02,0.06,0.05,0.09,0.01,0.06,0.09,0.19,0.21,0.16,0.11,0.04,0.18,0.12,0.12,0.15,0.05,0.04,0.2,0.09,0.31,0.21,0.12,0.2,0.07,0.21,0.03,0.27,0.01,0.07,1,0.21,-0.05,0.17,0.18,0.06,0.02,0.02,0.1,0.05,0.03,0.05,0.08,0.21,0.15,0.11,0.21,0.1,0.19,0.25,0.01,0.05,0.01,0.1,0.09
thumping,0.17,-0.01,0.01,0.05,0.12,-0.04,-0.03,0.01,0.09,-0.01,-0.03,0,0.18,0.08,0.01,0.03,0.05,0.14,-0.01,-0.01,0.09,0.18,-0.01,0.24,0.03,0.11,0.02,0.08,0.05,0.13,0.25,0.5,0.14,0.51,0.53,0.55,0.4,0.16,0.49,0.38,0.36,0.15,0.62,0.38,0.42,0.23,0.35,0.4,0.43,0.34,0.36,0.42,0.48,0.35,0.43,0.22,0.4,0.44,0.25,0.15,0.49,0.4,0.39,0.19,0.33,0.32,0.18,0.12,0.11,0.21,1,0.01,0.49,0.05,0.33,0.03,0.32,0.21,0.39,0.23,0.32,0.36,0.44,0.35,0.24,0.29,0.35,0.48,0.3,0.22,0.34,0.18,0.28,0.08
beeping,0.06,-0.03,0,0.08,0,-0.03,0,-0.07,0,0.11,0,0.01,0.05,-0.05,-0.07,-0.03,0.02,-0.01,-0.02,-0.01,-0.02,0.03,0.02,-0.04,-0.01,-0.04,-0.01,0.03,-0.02,0,0.04,-0.02,-0.07,-0.01,0.01,0,-0.04,0,-0.02,0.08,-0.05,0.03,-0.03,0.16,0.05,0.14,-0.01,-0.03,-0.02,-0.01,-0.02,-0.04,0.07,0.07,-0.02,0.05,0.16,0.16,-0.03,-0.06,0.01,-0.1,-0.07,-0.09,-0.07,0.07,-0.08,-0.02,-0.02,-0.05,0.01,1,-0.05,-0.08,0.01,-0.01,0.09,-0.04,0.11,0.05,0,-0.08,-0.02,-0.07,0,-0.07,0.04,-0.02,0.07,0.01,-0.04,-0.02,-0.01,-0.11
hushed,0.2,0.07,-0.01,0.03,0.14,-0.03,0,0.13,0.1,0.03,0.03,0.01,0.18,0.22,0.08,0.04,0.04,0.21,0.07,0.09,0.21,0.25,0.05,0.16,0.04,0.16,-0.04,0,0.08,0.09,0.21,0.42,0.19,0.45,0.57,0.49,0.3,0.23,0.41,0.32,0.35,0.27,0.48,0.27,0.37,0.12,0.32,0.41,0.35,0.33,0.42,0.28,0.31,0.26,0.26,0.13,0.25,0.25,0.32,0.09,0.28,0.24,0.35,0.16,0.29,0.27,0.12,0.15,0.02,0.17,0.49,-0.05,1,0.09,0.43,0.04,0.24,0.13,0.28,0.38,0.23,0.37,0.44,0.46,0.18,0.35,0.33,0.48,0.34,0.23,0.39,0.09,0.2,0.09
lilting,0.05,0.63,-0.02,-0.01,-0.01,0.02,0.08,-0.01,0.05,-0.06,0.2,-0.02,0,0.23,0.11,0.02,0.08,0.02,0.58,0.02,0.03,0.03,0,0,0.05,0.04,0.12,0,-0.01,0.07,0.09,0.07,0.12,0.07,0.19,0,0.15,0.13,0.01,-0.01,0.11,0.03,0.05,0,0.07,0.04,0.21,0.14,0.02,0.1,0.21,0.02,0.05,0.01,-0.04,-0.01,-0.05,-0.05,0.1,0.11,0.09,0.03,0.08,0.07,0.09,0.07,0.09,0.26,0.04,0.18,0.05,-0.08,0.09,1,0.02,-0.05,-0.01,0.14,-0.03,0.35,0.1,-0.01,0.06,0.06,0.11,0.03,0.03,0.1,0.04,0.11,0.06,0.06,0.05,0
moaning,0.08,0.02,0.02,-0.01,0.06,0.1,-0.05,0.06,0.03,-0.01,0.08,0.03,0.04,0.13,-0.01,0.05,0.05,0.05,0.01,0.09,0.11,0.11,0.03,0.13,0.12,0.11,-0.03,0,0.04,0.1,0.2,0.37,0.02,0.38,0.44,0.46,0.12,0.15,0.38,0.39,0.37,0.15,0.42,0.4,0.59,0.08,0.12,0.41,0.37,0.24,0.29,0.3,0.48,0.28,0.25,0.18,0.22,0.3,0.19,0.06,0.35,0.3,0.3,0.14,0.42,0.34,0.24,0.06,0.03,0.06,0.33,0.01,0.43,0.02,1,0.04,0.19,0.12,0.35,0.17,0.37,0.2,0.3,0.24,0.12,0.19,0.31,0.34,0.25,0.17,0.5,0.11,0.23,0.18
circular,0.03,-0.02,0.11,0.02,0.06,0,0.1,0.05,0.25,0.12,0.01,-0.04,0.07,0.06,0.02,0.22,0.08,-0.02,-0.01,0.03,0.19,-0.01,0.01,0,-0.03,0.1,0.07,0.04,0.06,0.06,0.08,0.03,0.04,0.03,0.09,0.03,0.02,0.04,0.04,0.08,0.08,0.08,0.03,0,0.01,0,0.01,0.03,0.04,0.04,0.09,0.06,0.06,0.03,0.01,0.09,0.01,0.05,0.12,-0.02,0.07,0.04,0,0,0,0.01,0.03,0.17,0.09,0.02,0.03,-0.01,0.04,-0.05,0.04,1,0.09,-0.01,-0.01,-0.05,0.05,0.01,0.06,0.05,0.08,0.01,0.01,0.05,0,0.02,0.07,0.02,0.09,-0.05
thunderous,0.15,0.03,0.01,0.06,0.12,-0.09,0.02,0,0.05,0.06,0.09,-0.07,0.11,-0.04,0.03,0.06,-0.01,0.06,0.03,0.05,0.06,0.17,-0.01,0.11,-0.03,0.07,0,0.04,0.03,0.11,0.18,0.36,0.04,0.34,0.41,0.4,0.16,0.12,0.4,0.5,0.34,0.28,0.34,0.29,0.37,0.11,0.24,0.26,0.25,0.04,0.16,0.33,0.27,0.24,0.11,0.24,0.16,0.26,0.28,0.04,0.17,0.25,0.26,0.02,0.18,0.34,0.02,0.01,0.08,0.02,0.32,0.09,0.24,-0.01,0.19,0.09,1,0.16,0.19,0.11,0.18,0.13,0.23,0.17,0.26,0.19,0.21,0.33,0.26,0.18,0.36,0.09,0.25,0.11
gurgling,0.19,0.04,-0.02,0.07,0.08,-0.02,0.04,-0.01,0.08,0.04,-0.04,0.02,-0.04,0.06,0.02,0.12,0.04,-0.02,0.03,0.06,0.07,0.15,0.02,0.04,0.1,0.1,-0.01,0.01,0.03,0.03,0.15,0.14,0.04,0.26,0.18,0.17,0.05,0.08,0.04,0.15,0.12,0.14,0.19,0.1,0.2,0.32,0.22,0.14,0.2,0.15,0.16,0.19,0.17,0.27,0.03,0.16,0.03,0.08,0.13,0.08,0.07,0.18,0.15,0.13,0.16,0.1,0.11,0.04,0.12,0.1,0.21,-0.04,0.13,0.14,0.12,-0.01,0.16,1,0.18,0.17,0.08,0.13,0.21,0.25,0.06,0.06,0.16,0.22,0.15,0.11,0.09,0,0.06,-0.02
whimpering,0.07,-0.01,-0.02,0.02,0.08,-0.01,0.02,-0.05,-0.03,0.02,-0.02,0.01,0.09,0.02,-0.02,0.02,-0.04,0.01,-0.01,0,0.07,0.07,-0.01,0.16,0.02,-0.03,0.02,0.01,0.1,-0.02,0.15,0.39,0.05,0.26,0.24,0.33,0.24,0.03,0.19,0.29,0.15,0.08,0.37,0.49,0.42,0.18,0.16,0.2,0.21,0.04,0.25,0.33,0.51,0.21,0.41,0.2,0.44,0.4,0.16,0.01,0.24,0.24,0.26,0.08,0.19,0.15,0.05,0.03,-0.04,0.05,0.39,0.11,0.28,-0.03,0.35,-0.01,0.19,0.18,1,0.14,0.19,0.09,0.25,0.17,0.06,0.12,0.23,0.3,0.11,0.05,0.3,0.15,0.16,0.12
melodious,0.06,0.44,0.01,0.05,0.07,0.04,0.05,0.07,0.07,0.04,0.21,0,0.03,0.18,0.09,0.08,0.04,0.01,0.46,0.05,0,0.16,0.01,0.04,-0.1,0.02,0.02,0.05,0.06,-0.06,0.18,0.21,0.1,0.34,0.27,0.3,0.11,0.21,0.18,0.1,0.12,0.08,0.22,0.12,0.09,0.19,0.33,0.15,0.06,0.18,0.21,0.11,0.14,0.16,0.04,0.06,0.11,0.11,0.23,0.06,0.06,0.14,0.1,0.03,0.17,0.29,0.05,0.2,0.01,0.03,0.23,0.05,0.38,0.35,0.17,-0.05,0.11,0.17,0.14,1,0.06,0.07,0.28,0.18,0.12,0.19,0.28,0.23,0.19,0.09,0.14,0.03,0.11,0.11
mumbling,0.13,-0.03,-0.01,0.01,0.1,0.15,-0.01,0.02,0.04,0.04,0.11,0.04,0.13,0.06,0.05,0.08,0.08,0.03,-0.04,0,0.06,0.12,-0.01,0.22,0.08,0.08,-0.01,0.01,0.02,0.11,0.2,0.4,0.06,0.3,0.4,0.36,0.24,0.12,0.28,0.32,0.35,0.17,0.4,0.25,0.44,0.11,0.15,0.35,0.53,0.14,0.3,0.25,0.29,0.22,0.18,0.17,0.15,0.26,0.13,0.12,0.35,0.27,0.15,0.1,0.31,0.22,0.2,0.02,-0.02,0.05,0.32,0,0.23,0.1,0.37,0.05,0.18,0.08,0.19,0.06,1,0.11,0.18,0.27,0.19,0.23,0.15,0.24,0.18,0.25,0.28,0.05,0.2,0.03
jingling,0.07,0.01,-0.01,0,0.08,-0.02,-0.02,0.11,0.04,0.05,-0.08,0,0.01,0.13,-0.01,-0.02,0.02,0.03,0.01,-0.05,0.04,0.17,-0.03,0.15,0.12,0.03,-0.04,0.06,0.03,0.08,0.1,0.28,0.09,0.32,0.23,0.29,0.29,0.12,0.29,0.22,0.22,0.1,0.4,0.22,0.26,0.08,0.21,0.33,0.18,0.22,0.22,0.14,0.26,0.18,0.16,0.21,0.17,0.2,0.1,-0.02,0.18,0.27,0.25,0.04,0.14,0.23,0.1,0.1,0.02,0.08,0.36,-0.08,0.37,-0.01,0.2,0.01,0.13,0.13,0.09,0.07,0.11,1,0.15,0.31,0.15,0.26,0.23,0.23,0.22,0.1,0.26,0.04,0.15,0.04
rustling,0.1,0.06,-0.02,0.04,0.16,-0.1,0.07,0.16,0.09,0.09,0.06,0,0.07,0.22,0.03,0.04,0.12,0.02,0.07,0.05,0.1,0.15,0,0.05,0.03,0.12,0.01,0.04,0.02,0.15,0.26,0.38,0.07,0.47,0.5,0.48,0.11,0.36,0.3,0.3,0.36,0.19,0.42,0.33,0.28,0.25,0.44,0.27,0.39,0.24,0.36,0.43,0.35,0.43,0.3,0.22,0.17,0.38,0.41,0.19,0.34,0.26,0.47,0.17,0.29,0.23,0.09,0.17,0.01,0.21,0.44,-0.02,0.44,0.06,0.3,0.06,0.23,0.21,0.25,0.28,0.18,0.15,1,0.48,0.15,0.26,0.39,0.51,0.43,0.31,0.37,0.19,0.2,0.19
tinkling,0.07,0.05,0,-0.02,0.11,-0.05,0.02,0.08,0.07,0.05,0.06,0.03,0.07,0.33,0.01,-0.01,0.14,0.01,0.05,0.08,0.05,0.13,0.03,0.14,0.05,0.06,-0.04,0.05,0.02,0.05,0.12,0.32,0.14,0.39,0.45,0.4,0.27,0.27,0.26,0.3,0.37,0.2,0.43,0.3,0.22,0.16,0.35,0.27,0.36,0.17,0.3,0.27,0.29,0.31,0.15,0.12,0.07,0.24,0.3,0.09,0.27,0.24,0.29,0.07,0.28,0.26,0.07,0.22,-0.03,0.15,0.35,-0.07,0.46,0.06,0.24,0.05,0.17,0.25,0.17,0.18,0.27,0.31,0.48,1,0.17,0.2,0.21,0.41,0.28,0.3,0.29,0.07,0.2,0.03
soundless,0.09,0.04,-0.01,0,0.13,-0.01,-0.02,0.19,0.07,0.04,0.17,-0.02,0.13,0,0.13,0.02,0.06,0.01,0.03,0.03,0.09,0.07,-0.02,0.05,0,0.08,0.02,-0.01,0.05,0.1,0.2,0.25,0.04,0.16,0.38,0.27,0.18,0.08,0.23,0.25,0.23,0.15,0.24,0.21,0.23,0.12,0.25,0.09,0.14,0.13,0.2,0.21,0.14,0.08,0.07,0.18,0.14,0.18,0.12,0.04,0.17,0.27,0.24,-0.05,0.2,0.21,0.18,0,0,0.11,0.24,0,0.18,0.11,0.12,0.08,0.26,0.06,0.06,0.12,0.19,0.15,0.15,0.17,1,0.03,0.13,0.21,0.16,0.17,0.25,0.07,0.12,0.01
giggling,0.11,0,0.04,0,0.14,0.05,-0.04,0.12,0.04,0.04,0.02,-0.02,0.03,0.04,-0.05,-0.01,0.13,0.06,0,0.03,0.14,0.17,0,0.12,0.07,0.18,0,0.02,0.06,0.25,0.2,0.31,0.19,0.39,0.33,0.3,0.23,0.16,0.22,0.13,0.23,0.21,0.33,0.23,0.26,0.06,0.23,0.5,0.27,0.12,0.26,0.24,0.18,0.2,0.15,0.14,0.12,0.26,0.18,0.08,0.17,0.24,0.22,0.09,0.15,0.2,0.12,0.07,0.1,0.21,0.29,-0.07,0.35,0.03,0.19,0.01,0.19,0.06,0.12,0.19,0.23,0.26,0.26,0.2,0.03,1,0.22,0.49,0.3,0.13,0.18,0.12,0.22,0.07
crackling,0.1,0.03,0.01,-0.01,0.07,-0.05,0.01,0.01,0.18,0.08,0.02,0.1,0.03,0.07,0.09,0.06,0.07,0.02,0.03,0.05,0.03,0.22,-0.01,0.19,0.01,0.08,0.03,-0.01,0.05,0.06,0.2,0.3,0.07,0.32,0.35,0.36,0.12,0.18,0.26,0.28,0.18,0.16,0.39,0.4,0.24,0.12,0.33,0.19,0.25,0.13,0.21,0.37,0.24,0.28,0.22,0.11,0.26,0.31,0.19,0.12,0.27,0.33,0.29,0.13,0.26,0.2,0.12,0.12,0.02,0.1,0.35,0.04,0.33,0.03,0.31,0.01,0.21,0.16,0.23,0.28,0.15,0.23,0.39,0.21,0.13,0.22,1,0.3,0.19,0.14,0.35,0.23,0.17,0.09
whispering,0.2,0.04,0,0.04,0.17,-0.05,-0.06,0.11,0.07,0,0.02,0,0.07,0.15,0.02,0.04,0.1,0.13,0.03,0.05,0.1,0.27,0.03,0.19,0.08,0.18,0,0.02,0.09,0.23,0.23,0.42,0.09,0.52,0.6,0.5,0.26,0.33,0.35,0.39,0.42,0.31,0.5,0.31,0.36,0.25,0.33,0.54,0.36,0.31,0.36,0.42,0.29,0.42,0.24,0.2,0.11,0.29,0.42,0.13,0.28,0.33,0.41,0.19,0.32,0.34,0.07,0.15,0.07,0.19,0.48,-0.02,0.48,0.1,0.34,0.05,0.33,0.22,0.3,0.23,0.24,0.23,0.51,0.41,0.21,0.49,0.3,1,0.45,0.29,0.36,0.17,0.19,0.13
noisy,0.25,0.02,0.02,0.01,0.12,0.07,0.01,0.07,0.13,0.04,0.01,0.07,0.21,0.14,0.01,0.07,0.06,0.14,0.02,0.08,0.2,0.36,0.03,0.21,0.11,0.21,0.06,0.04,0.12,0.27,0.22,0.24,0.13,0.64,0.42,0.47,0.3,0.2,0.22,0.26,0.32,0.2,0.31,0.24,0.36,0.23,0.38,0.42,0.23,0.32,0.22,0.3,0.28,0.36,0.31,0.23,0.22,0.34,0.24,0.27,0.28,0.25,0.36,0.15,0.17,0.42,0.23,0.09,0.02,0.25,0.3,0.07,0.34,0.04,0.25,0,0.26,0.15,0.11,0.19,0.18,0.22,0.43,0.28,0.16,0.3,0.19,0.45,1,0.35,0.34,0.14,0.15,0.1
blaring,0.15,0,-0.01,-0.02,0.11,0.02,-0.02,0.06,0.02,0,-0.01,-0.03,0.11,0.37,0.01,0.02,0.04,0.07,0.02,0.07,0.06,0.17,0.02,0.12,0.03,0.15,-0.03,0.03,-0.01,0.15,0.12,0.23,0.01,0.38,0.3,0.37,0.19,0.15,0.23,0.19,0.23,0.18,0.25,0.14,0.33,0.13,0.31,0.27,0.21,0.22,0.27,0.22,0.18,0.29,0.15,0.15,0.07,0.19,0.27,0.16,0.24,0.16,0.21,0.07,0.1,0.27,0.15,0.26,0.03,0.01,0.22,0.01,0.23,0.11,0.17,0.02,0.18,0.11,0.05,0.09,0.25,0.1,0.31,0.3,0.17,0.13,0.14,0.29,0.35,1,0.35,0.05,0.23,-0.02
shrieking,0.19,0.02,-0.01,-0.04,0.05,-0.11,-0.01,0.07,0.04,-0.01,0.06,0.07,0.08,0.28,0.08,0.04,0.04,0.04,0.03,0.13,0.13,0.24,0.01,0.13,0.06,0.14,-0.01,0.07,0.05,0.04,0.15,0.35,-0.02,0.41,0.48,0.49,0.13,0.23,0.38,0.45,0.27,0.21,0.37,0.37,0.57,0.12,0.24,0.35,0.32,0.24,0.34,0.36,0.43,0.31,0.23,0.2,0.23,0.26,0.24,0,0.34,0.38,0.37,0.03,0.27,0.42,0.12,0.19,0,0.05,0.34,-0.04,0.39,0.06,0.5,0.07,0.36,0.09,0.3,0.14,0.28,0.26,0.37,0.29,0.25,0.18,0.35,0.36,0.34,0.35,1,0.15,0.32,0.09
stormy,0.11,0.09,0,0,0.05,0.01,0.08,-0.01,0.05,0.08,0.02,0,0.07,0.08,0.11,0.04,0.09,0.1,0.08,0.01,0.08,0.13,0.03,0.05,0.13,0.12,0.04,0.03,0.04,0.12,0.16,0.16,0.04,0.14,0.23,0.1,0.16,0.11,0.09,0.34,-0.03,0.1,0.21,0.37,0.1,0.01,0.12,0.08,0.11,0.05,0.16,0.29,0.1,0.08,0.18,0.08,0.14,0.28,0.09,0.06,0.2,0.14,0.32,0,0.1,0.05,0.04,0.11,0.01,0.01,0.18,-0.02,0.09,0.06,0.11,0.02,0.09,0,0.15,0.03,0.05,0.04,0.19,0.07,0.07,0.12,0.23,0.17,0.14,0.05,0.15,1,0.14,-0.02
deafening,0.16,-0.02,0.03,-0.03,0.02,0,-0.01,0.06,0,0.01,-0.05,0.02,0.02,0.09,0.03,-0.01,0.11,-0.01,-0.03,0.04,0.1,0.21,0.01,0.23,0.04,0.13,-0.01,0.02,0.02,0.05,0.11,0.22,0.17,0.26,0.3,0.27,0.12,0.06,0.27,0.24,0.16,0.15,0.33,0.25,0.3,0,0.21,0.2,0.23,0.11,0.17,0.14,0.28,0.23,0.21,0.09,0.19,0.24,0.19,0.09,0.17,0.25,0.21,0.03,0.12,0.21,0.13,0.04,0.08,0.1,0.28,-0.01,0.2,0.05,0.23,0.09,0.25,0.06,0.16,0.11,0.2,0.15,0.2,0.2,0.12,0.22,0.17,0.19,0.15,0.23,0.32,0.14,1,0.05
clamorous,0.01,-0.03,-0.02,0,0.13,0.02,0.09,0.16,-0.01,0.07,0.03,0.06,-0.02,-0.03,0,0.03,0,0.01,-0.04,-0.01,0.02,-0.03,-0.03,0.07,-0.02,0,0.01,0.01,0.02,0.09,0.09,0.14,-0.04,0.13,0.14,0.15,0,0.18,0.05,0.14,0.1,0.06,0.09,0.03,0.06,0.04,-0.05,0.14,0.12,0.04,0.01,0.12,0.05,0.05,0.08,0,-0.01,0.07,0.18,0,0.04,0.03,0.15,0.01,0.25,0.09,0.01,0.01,0.15,0.09,0.08,-0.11,0.09,0,0.18,-0.05,0.11,-0.02,0.12,0.11,0.03,0.04,0.19,0.03,0.01,0.07,0.09,0.13,0.1,-0.02,0.09,-0.02,0.05,1
