exc_nouns,exc_adjs
0.571428571,0.375
0.222222222,0.833333333
0.222222222,0.833333333
0.285714286,0.125
0.555555556,0.428571429
0.555555556,0.625
0.571428571,0.555555556
0.5,0.5
0.111111111,0.555555556
0.285714286,0.375
0.285714286,0.5
0.555555556,0.555555556
0.6,0.6
0.111111111,0.4
0.555555556,0.555555556
0.444444444,0.125
0.555555556,0.2
0.142857143,0.555555556
0.111111111,0.142857143
0.222222222,0.125
0.444444444,0
0.555555556,0
0.428571429,0.555555556
0.428571429,0.555555556
0.714285714,0.25
0.625,0.6
0.555555556,0.125
0.625,0.25
0.222222222,0.75
0.285714286,0
0.714285714,0.555555556
0.714285714,0.125
0.444444444,0.555555556
0.428571429,0.2
0.555555556,0.2
0.555555556,0.2
0.555555556,0.4
0.555555556,0.4
0.142857143,0.2
0.571428571,0.6
0.714285714,1
0.555555556,0
0.428571429,0.625
0.714285714,0.4
0.222222222,0.8
0.714285714,0.625
0.444444444,0.25
0.714285714,0.555555556
0.555555556,0.5
0.555555556,0.4
0.222222222,0.555555556
0.555555556,0.2
0.714285714,0.25
0.555555556,0.625
0.714285714,0.75
0.714285714,0.625
0.285714286,0.5
0.833333333,0.375
0.428571429,0
0.555555556,1
0.333333333,0.2
0.444444444,0.555555556
0.444444444,0.375
1.25,0.4
0.714285714,1.25
0.222222222,0.555555556
0.555555556,1
0.444444444,1
0.625,1
0.666666667,0.5
0.285714286,0.125
0.555555556,0.333333333
0.555555556,0.333333333
0.555555556,0.6
0.555555556,0.5
0.555555556,0.625
0.285714286,0.125
0.555555556,0.375
0.714285714,0.6
0.555555556,0.625
0.285714286,0.555555556
0.714285714,0.625
0.714285714,0.555555556
0.625,0.25
0.111111111,0.6
0.571428571,0.25
0.428571429,1
0.285714286,1
0.555555556,0.555555556
0.555555556,0.4
0.714285714,0.5
0.571428571,0.25
0.555555556,1
0.555555556,1
0.555555556,0.25
0.428571429,0.714285714
0.555555556,0.555555556
0.625,1
0.555555556,0.6
0.555555556,0.625
0.555555556,0.5
0.428571429,0.25
0.444444444,0.625
0.714285714,0.25
0.555555556,0.333333333
0.142857143,0.375
0.625,0.25
0.555555556,0.25
0.285714286,0.555555556
0.285714286,0.5
0.555555556,0.555555556
0.444444444,0.5
0.555555556,0.375
0.555555556,0.333333333
0.555555556,0.625
0.333333333,0.3
0.666666667,0.555555556
0.555555556,0.444444444
0.555555556,0.714285714
0.333333333,0.555555556
0.428571429,0.5
0.625,0.555555556
0.555555556,0.4
0.428571429,0.5
0.571428571,0.444444444
0.428571429,0.714285714
0.333333333,0.444444444
0.222222222,0.4
0.555555556,0.555555556
0.714285714,0.8
0.555555556,0.8
0.444444444,0.2
0.714285714,0.555555556
0.714285714,0.4
0.555555556,0.2
0.555555556,0.25
0.555555556,0.4
0.555555556,0.666666667
0,0.4
0.555555556,0.4
0.555555556,0.6
0.285714286,0.125
0.555555556,0.555555556
0.555555556,0.555555556
0.222222222,0.555555556
0.222222222,0.3
0.555555556,0.444444444
0.555555556,1
0.555555556,0.25
0.625,0.5
0.444444444,0.333333333
0.428571429,0.555555556
0.444444444,0.555555556
0.555555556,0.25
0.111111111,0.5
0.555555556,0.125
0.555555556,0.4
0.555555556,0.625
0.555555556,0.4
0.625,0.5
0.111111111,0.555555556
0.571428571,0.555555556
0.714285714,0.4
0.714285714,1
0.555555556,0.8
0.714285714,0.5
0.571428571,0.555555556
0.428571429,0
0.714285714,1
0.428571429,0.25
0.555555556,0.4
0.444444444,0.375
0.222222222,0
0.714285714,0.625
0.714285714,0.666666667
0.444444444,0.333333333
0.333333333,0.555555556
0.333333333,0.3
0.555555556,0.833333333
0.555555556,0.25
0.444444444,0.125
0.333333333,0.2
0.555555556,0.2
0.625,0.4
0.555555556,0.125
0.555555556,0.6
0.555555556,0.4
0.444444444,0.5
0.555555556,0.4
0.555555556,0
0.142857143,0.25
0.111111111,0.4
0.625,0.25
0.625,0.444444444
0.555555556,0.666666667
0.555555556,0.444444444
0.555555556,0.6
0.555555556,0.2
0.222222222,0.8
0.555555556,0.4
0.444444444,0.125
0.555555556,0.4
0.555555556,0.285714286
0.444444444,0.6
0.571428571,0.6
0.111111111,1
0.444444444,0.333333333
0.571428571,1.25
0.714285714,0.8
0.714285714,0.714285714
0.555555556,0.375
0.333333333,0.555555556
0.555555556,0.555555556
0.555555556,0.4
0.625,0.444444444
0.555555556,0.3
0.555555556,0.8
0.555555556,0.375
0.555555556,0.444444444
0.625,0.4
0.714285714,0.2
0.555555556,0.25
0.555555556,0.555555556
0.111111111,0.625
0.555555556,0.375
0.222222222,0.6
0.444444444,0.3
0.714285714,0.125
0.571428571,0.833333333
0.555555556,0.4
0.222222222,0.8
0.555555556,0.555555556
0.555555556,0.25
0.555555556,0.5
0.222222222,0.6
0.222222222,0.8
0,0.6
0.333333333,0.2
0.571428571,0.2
0.555555556,0.125
0.222222222,0.8
0.714285714,0
0.571428571,0.6
0.714285714,0.6
0.714285714,0.8
0.555555556,0.6
0.555555556,0.375
0.222222222,0.25
0.444444444,1.25
0.285714286,0.375
0,0.2
0.555555556,0.4
0.555555556,0.2
0.555555556,0.25
0.555555556,0.25
0.444444444,0.375
0.555555556,0.444444444
0.428571429,0.625
0.714285714,0.25
0.333333333,0.6
0.222222222,0.4
0.555555556,0.25
0.571428571,0.625
0.333333333,1
0.444444444,0.6
0.285714286,0.125
0.555555556,0.25
0.833333333,0.2
0.222222222,0.25
0.285714286,0.25
0.555555556,0.625
0.714285714,0.25
0.555555556,0.125
0.571428571,0.125
0.555555556,0.375
0.714285714,0.625
0.444444444,0.5
0.428571429,0
0.428571429,0.625
0.555555556,0.2
0.555555556,0.2
0.444444444,0.444444444
0.555555556,0.555555556
0.555555556,0.2
0.714285714,1
0.714285714,0.333333333
0.444444444,0.555555556
0.111111111,0.4
0.555555556,0.5
0.555555556,0.2
0.555555556,0.6
0.571428571,0.555555556
0.428571429,0.125
0.285714286,0.375
0.625,0.714285714
0.571428571,0.555555556
0.625,0.25
0.111111111,0.125
0.571428571,0.125
0.444444444,0.25
0.555555556,0.25
0.333333333,0.125
0.571428571,0.555555556
0.444444444,1
0.714285714,0.4
0.714285714,0.25
0.571428571,0.125
0.555555556,0.125
0.428571429,0.428571429
0.428571429,0.6
0.625,0.625
0.444444444,0.2
0.555555556,1
0.428571429,0.5
0.833333333,0.5
0.555555556,0.375
0.333333333,0.5
0.555555556,0
0.714285714,0.4
0.625,0.4
0.222222222,0.125
0.714285714,0.6
0.555555556,0.625
0.625,0.8
0.714285714,0.2
0.714285714,1
0.555555556,0.6
0.555555556,0.6
0.333333333,0.25
0.555555556,0.25
0.714285714,0.25
0.555555556,0.125
0.25,0.125
0.555555556,0.375
0.555555556,0.555555556
0.428571429,1
0.555555556,
0.555555556,
0.222222222,
0,
0.428571429,
0.555555556,
0.714285714,
0.714285714,
0.714285714,
0.555555556,
0.222222222,
0.555555556,
0.555555556,
0.222222222,
0.714285714,
0.555555556,
0.428571429,
0.555555556,
0.222222222,
0.5,
0.625,
0.285714286,
0.222222222,
0.555555556,
0.333333333,
0.285714286,
0.571428571,
0.333333333,
0.625,
0.555555556,
0.555555556,
0.555555556,
0.555555556,
0.555555556,
0.444444444,
0.555555556,
0.428571429,
0.714285714,
0.333333333,
0.714285714,
0.555555556,
0.555555556,
0.444444444,
0.555555556,
0.714285714,
0.5,
0.714285714,
0.285714286,
0.833333333,
0.571428571,
0.571428571,
0.555555556,
0.444444444,
0.555555556,
0.555555556,
0.555555556,
0.285714286,
0.428571429,
0.555555556,
0.555555556,
0.555555556,
0.444444444,
0.714285714,
0.555555556,
0.444444444,
0.285714286,
0.714285714,
0.428571429,
0.555555556,
0.555555556,
0.714285714,
0.555555556,
0.571428571,
0.428571429,
0.714285714,
